SDK,MONTH,COUNT
Other (Mobile),1,2
Browser,1,109
Other (Server-side),2,1
Go,1,5
Erlang,2,2
Browser,2,178
Android,1,18
iOS,2,27
Erlang,3,5
Android,3,31
C,1,3
Other (Mobile),3,1
C,2,4
Node.js,1,20
Python,2,32
.NET,3,271
Android,2,27
Java,3,69
.NET,1,135
iOS,3,34
Python,3,33
Android,4,30
Ruby,1,7
PHP,2,19
Java,1,34
Xamarin,2,5
.NET,4,170
Ruby,4,23
Roku,2,1
Xamarin,3,4
Ruby,3,25
PHP,3,20
Other (Server-side),4,4
PHP,1,11
Erlang,4,5
Other (Mobile),2,2
Roku,4,1
Node.js,2,40
C,3,5
Go,2,11
Java,4,69
Browser,4,223
Other (Server-side),3,4
Python,1,16
Java,2,60
Browser,3,239
Ruby,2,17
Other (Server-side),1,1
.NET,2,272
iOS,1,15
Node.js,3,44
Go,3,25
iOS,4,32
C,4,3
Python,4,31
Go,4,28
Node.js,4,42
PHP,4,13
Xamarin,4,2
Roku,3,1
Xamarin,1,5
Roku,1,1
Other (Mobile),4,1
